Name,Team,Position,Date,Notes
Josh Jackson,Detroit Pistons,SG,14/01/2018,activated from IL
Josh Jackson,Detroit Pistons,SG,10/03/2018,placed on IL with stiffness in left knee
Josh Jackson,Detroit Pistons,SG,13/03/2018,activated from IL
Josh Jackson,Detroit Pistons,SG,08/04/2018,bruised right quadriceps (out for season)
Josh Jackson,Detroit Pistons,SG,23/03/2019,placed on IL with sprained right ankle
Josh Jackson,Detroit Pistons,SG,30/03/2019,activated from IL
Cory Joseph,Detroit Pistons,PG,04/01/2012,placed on IL
Cory Joseph,Detroit Pistons,PG,11/01/2012,activated from IL
Cory Joseph,Detroit Pistons,PG,04/03/2012,placed on IL (F)
Cory Joseph,Detroit Pistons,PG,23/03/2012,placed on IL
Cory Joseph,Detroit Pistons,PG,25/04/2012,activated from IL
Cory Joseph,Detroit Pistons,PG,29/04/2012,placed on IL
Cory Joseph,Detroit Pistons,PG,03/11/2012,placed on IL
Cory Joseph,Detroit Pistons,PG,09/11/2012,activated from IL
Cory Joseph,Detroit Pistons,PG,13/11/2012,placed on IL
Cory Joseph,Detroit Pistons,PG,21/11/2012,activated from IL
Cory Joseph,Detroit Pistons,PG,01/12/2012,placed on IL
Cory Joseph,Detroit Pistons,PG,05/12/2012,activated from IL
Cory Joseph,Detroit Pistons,PG,21/12/2012,placed on IL
Cory Joseph,Detroit Pistons,PG,16/01/2013,activated from IL
Cory Joseph,Detroit Pistons,PG,01/03/2013,activated from IL
Cory Joseph,Detroit Pistons,PG,23/12/2013,placed on IL with stomach virus
Cory Joseph,Detroit Pistons,PG,25/12/2013,activated from IL
Cory Joseph,Detroit Pistons,PG,26/11/2014,sprained left ankle (DTD)
Cory Joseph,Detroit Pistons,PG,10/01/2015,returned to lineup
Cory Joseph,Detroit Pistons,PG,18/12/2016,flu (DTD)
Cory Joseph,Detroit Pistons,PG,20/12/2016,returned to lineup
Trey Lyles,Detroit Pistons,PF,12/01/2019,placed on IL with sprained right wrist
Trey Lyles,Detroit Pistons,PF,15/01/2019,activated from IL
Trey Lyles,Detroit Pistons,PF,21/02/2019,strained left hamstring (DTD)
Trey Lyles,Detroit Pistons,PF,22/02/2019,placed on IL with strained left hamstring
Trey Lyles,Detroit Pistons,PF,14/03/2019,activated from IL
Trey Lyles,Detroit Pistons,PF,15/07/2020,appendicitis (out for season)
Rodney McGruder,Detroit Pistons,SG,07/12/2016,sore ankle (DTD)
Rodney McGruder,Detroit Pistons,SG,19/12/2016,sprained left ankle (DTD)
Rodney McGruder,Detroit Pistons,SG,27/12/2016,returned to lineup
Rodney McGruder,Detroit Pistons,SG,12/10/2017,surgery on lower left leg to repair stress fracture (out indefinitely) (date approximate)
Rodney McGruder,Detroit Pistons,SG,17/10/2017,placed on IL recovering from surgery on lower left leg to repair stress fracture
Rodney McGruder,Detroit Pistons,SG,27/02/2018,activated from IL
Rodney McGruder,Detroit Pistons,SG,23/12/2018,placed on IL with stomach illness
Rodney McGruder,Detroit Pistons,SG,26/12/2018,activated from IL
Rodney McGruder,Detroit Pistons,SG,25/02/2019,bruised right knee (DTD)
Rodney McGruder,Detroit Pistons,SG,27/02/2019,returned to lineup
Rodney McGruder,Detroit Pistons,SG,18/03/2019,placed on IL with sore left knee
Rodney McGruder,Detroit Pistons,SG,03/04/2019,activated from IL
Rodney McGruder,Detroit Pistons,SG,21/10/2019,sprained right ankle (DTD)
Rodney McGruder,Detroit Pistons,SG,22/10/2019,placed on IL with sprained right ankle
Rodney McGruder,Detroit Pistons,SG,30/10/2019,activated from IL
Rodney McGruder,Detroit Pistons,SG,28/11/2019,strained right hamstring (DTD)
Rodney McGruder,Detroit Pistons,SG,01/12/2019,placed on IL with strained right hamstring
Rodney McGruder,Detroit Pistons,SG,13/12/2019,activated from IL
Kelly Olynyk,Detroit Pistons,PF,23/11/2013,sprained right ankle (DNP)
Kelly Olynyk,Detroit Pistons,PF,25/11/2013,sprained right ankle (DNP)
Kelly Olynyk,Detroit Pistons,PF,27/11/2013,sprained right ankle (DNP)
Kelly Olynyk,Detroit Pistons,PF,29/11/2013,sprained right ankle (DNP)
Kelly Olynyk,Detroit Pistons,PF,30/11/2013,sprained right ankle (DNP)
Kelly Olynyk,Detroit Pistons,PF,03/12/2013,sprained right ankle (DNP)
Kelly Olynyk,Detroit Pistons,PF,06/12/2013,sprained right ankle (DNP)
Kelly Olynyk,Detroit Pistons,PF,08/12/2013,sprained right ankle (DNP)
Kelly Olynyk,Detroit Pistons,PF,10/12/2013,sprained right ankle (DNP)
Kelly Olynyk,Detroit Pistons,PF,11/12/2013,sprained right ankle (DNP)
Kelly Olynyk,Detroit Pistons,PF,26/02/2014,sprained left big toe (DNP)
Kelly Olynyk,Detroit Pistons,PF,01/03/2014,sprained left big toe (DNP)
Kelly Olynyk,Detroit Pistons,PF,23/01/2015,placed on IL with sprained right ankle
Kelly Olynyk,Detroit Pistons,PF,04/03/2015,activated from IL
Kelly Olynyk,Detroit Pistons,PF,18/02/2016,bruised right shoulder (DTD)
Kelly Olynyk,Detroit Pistons,PF,19/02/2016,placed on IL with bruised right shoulder
Kelly Olynyk,Detroit Pistons,PF,16/03/2016,activated from IL
Kelly Olynyk,Detroit Pistons,PF,19/04/2016,placed on IL with sore right shoulder
Kelly Olynyk,Detroit Pistons,PF,24/04/2016,activated from IL
Kelly Olynyk,Detroit Pistons,PF,17/05/2016,surgery on right shoulder (out indefinitely)
Kelly Olynyk,Detroit Pistons,PF,26/10/2016,placed on IL recovering from surgery on right shoulder
Kelly Olynyk,Detroit Pistons,PF,09/11/2016,activated from IL
Kelly Olynyk,Detroit Pistons,PF,01/02/2017,sore/strained left shoulder (DTD)
Kelly Olynyk,Detroit Pistons,PF,03/02/2017,returned to lineup
Kelly Olynyk,Detroit Pistons,PF,07/02/2018,strained left shoulder (DTD)
Kelly Olynyk,Detroit Pistons,PF,27/02/2018,returned to lineup
Kelly Olynyk,Detroit Pistons,PF,04/09/2020,placed on IL with bruised right knee
Kelly Olynyk,Detroit Pistons,PF,06/09/2020,activated from IL
Dennis Smith Jr.,Detroit Pistons,PG,20/10/2017,placed on IL with sore left knee
Dennis Smith Jr.,Detroit Pistons,PG,23/10/2017,activated from IL
Dennis Smith Jr.,Detroit Pistons,PG,08/12/2017,placed on IL with strained left hip
Dennis Smith Jr.,Detroit Pistons,PG,18/12/2017,activated from IL
Dennis Smith Jr.,Detroit Pistons,PG,20/12/2017,returned to lineup
Dennis Smith Jr.,Detroit Pistons,PG,10/03/2018,placed on IL with sore left knee
Dennis Smith Jr.,Detroit Pistons,PG,11/03/2018,activated from IL
Dennis Smith Jr.,Detroit Pistons,PG,20/03/2018,placed on IL with sprained left ankle
Dennis Smith Jr.,Detroit Pistons,PG,24/03/2018,activated from IL
Dennis Smith Jr.,Detroit Pistons,PG,04/04/2018,placed on IL with sore left knee
Dennis Smith Jr.,Detroit Pistons,PG,06/04/2018,activated from IL
Dennis Smith Jr.,Detroit Pistons,PG,10/04/2018,placed on IL with sore left knee (out for season)
Dennis Smith Jr.,Detroit Pistons,PG,26/10/2018,sprained right ankle (DTD)
Dennis Smith Jr.,Detroit Pistons,PG,28/10/2018,returned to lineup
Dennis Smith Jr.,Detroit Pistons,PG,24/11/2018,sprained right wrist (DTD)
Dennis Smith Jr.,Detroit Pistons,PG,24/11/2018,placed on IL
Dennis Smith Jr.,Detroit Pistons,PG,28/11/2018,returned to lineup
Dennis Smith Jr.,Detroit Pistons,PG,28/11/2018,activated from IL
Dennis Smith Jr.,Detroit Pistons,PG,05/12/2018,placed on IL with sprained right wrist
Dennis Smith Jr.,Detroit Pistons,PG,13/12/2018,activated from IL
Dennis Smith Jr.,Detroit Pistons,PG,16/12/2018,placed on IL with sprained right wrist
Dennis Smith Jr.,Detroit Pistons,PG,28/12/2018,activated from IL
Dennis Smith Jr.,Detroit Pistons,PG,09/01/2019,placed on IL with back injury
Dennis Smith Jr.,Detroit Pistons,PG,16/01/2019,placed on IL with illness
Dennis Smith Jr.,Detroit Pistons,PG,22/01/2019,activated from IL
Dennis Smith Jr.,Detroit Pistons,PG,15/03/2019,placed on IL with sore lower back
Dennis Smith Jr.,Detroit Pistons,PG,28/03/2019,activated from IL
Dennis Smith Jr.,Detroit Pistons,PG,01/04/2019,placed on IL with sore lower back
Dennis Smith Jr.,Detroit Pistons,PG,07/04/2019,activated from IL
Dennis Smith Jr.,Detroit Pistons,PG,11/12/2019,illness (DTD)
Dennis Smith Jr.,Detroit Pistons,PG,13/12/2019,returned to lineup
Dennis Smith Jr.,Detroit Pistons,PG,26/12/2019,placed on IL with strained left oblique
Dennis Smith Jr.,Detroit Pistons,PG,22/01/2020,activated from IL
Dennis Smith Jr.,Detroit Pistons,PG,27/02/2020,concussion (DTD)
Dennis Smith Jr.,Detroit Pistons,PG,29/02/2020,placed on IL with concussion
Dennis Smith Jr.,Detroit Pistons,PG,10/03/2020,activated from IL
Goga Bitadze,Indiana Pacers,C,07/11/2019,concussion (DTD)
Goga Bitadze,Indiana Pacers,C,08/11/2019,placed on IL with concussion
Goga Bitadze,Indiana Pacers,C,15/11/2019,activated from IL
Goga Bitadze,Indiana Pacers,C,24/01/2020,placed on IL with illness
Goga Bitadze,Indiana Pacers,C,26/01/2020,activated from IL
Goga Bitadze,Indiana Pacers,C,29/07/2020,knee injury (DTD)
Goga Bitadze,Indiana Pacers,C,04/08/2020,returned to lineup
Oshae Brissett,Indiana Pacers,SF,01/03/2020,placed on IL
Oshae Brissett,Indiana Pacers,SF,01/08/2020,placed on IL with sore right knee
Oshae Brissett,Indiana Pacers,SF,07/08/2020,activated from IL
Oshae Brissett,Indiana Pacers,SF,10/08/2020,placed on IL with surgery on right knee (out for season)
Malcolm Brogdon,Indiana Pacers,PG,10/03/2017,sore back (DTD)
Malcolm Brogdon,Indiana Pacers,PG,13/03/2017,returned to lineup
Malcolm Brogdon,Indiana Pacers,PG,31/03/2017,sore back (DTD)
Malcolm Brogdon,Indiana Pacers,PG,08/04/2017,placed on IL with sore back
Malcolm Brogdon,Indiana Pacers,PG,10/04/2017,activated from IL
Malcolm Brogdon,Indiana Pacers,PG,23/10/2017,sprained left ankle (DTD)
Malcolm Brogdon,Indiana Pacers,PG,26/10/2017,returned to lineup
Malcolm Brogdon,Indiana Pacers,PG,26/01/2018,placed on IL with sore right calf
Malcolm Brogdon,Indiana Pacers,PG,29/01/2018,activated from IL
Malcolm Brogdon,Indiana Pacers,PG,02/02/2018,partially torn quadriceps tendon in left leg (out indefinitely)
Malcolm Brogdon,Indiana Pacers,PG,02/02/2018,placed on IL with partially torn quadriceps tendon in left leg
Malcolm Brogdon,Indiana Pacers,PG,09/04/2018,activated from IL
Malcolm Brogdon,Indiana Pacers,PG,14/12/2018,placed on IL with left hamstring injury
Malcolm Brogdon,Indiana Pacers,PG,19/12/2018,activated from IL
Malcolm Brogdon,Indiana Pacers,PG,29/01/2019,placed on IL with sternum injury
Malcolm Brogdon,Indiana Pacers,PG,31/01/2019,activated from IL
Malcolm Brogdon,Indiana Pacers,PG,02/03/2019,placed on IL with right foot injury
Malcolm Brogdon,Indiana Pacers,PG,04/03/2019,activated from IL
Malcolm Brogdon,Indiana Pacers,PG,16/03/2019,right foot injury (DTD)
Malcolm Brogdon,Indiana Pacers,PG,17/03/2019,placed on IL with right foot injury
Malcolm Brogdon,Indiana Pacers,PG,14/04/2019,activated from IL
Malcolm Brogdon,Indiana Pacers,PG,14/04/2019,right foot injury (DTD)
Malcolm Brogdon,Indiana Pacers,PG,08/05/2019,returned to lineup
Malcolm Brogdon,Indiana Pacers,PG,16/11/2019,placed on IL with sore lower back
Malcolm Brogdon,Indiana Pacers,PG,25/11/2019,activated from IL
Malcolm Brogdon,Indiana Pacers,PG,07/12/2019,placed on IL with right hand injury
Malcolm Brogdon,Indiana Pacers,PG,09/12/2019,activated from IL
Malcolm Brogdon,Indiana Pacers,PG,23/12/2019,placed on IL with left hamstring injury
Malcolm Brogdon,Indiana Pacers,PG,30/12/2019,activated from IL
Malcolm Brogdon,Indiana Pacers,PG,02/01/2020,placed on IL with sore lower back
Malcolm Brogdon,Indiana Pacers,PG,10/01/2020,strep throat (already on IL)
Malcolm Brogdon,Indiana Pacers,PG,13/01/2020,activated from IL
Malcolm Brogdon,Indiana Pacers,PG,23/01/2020,concussion (DTD)
Malcolm Brogdon,Indiana Pacers,PG,24/01/2020,placed on IL with concussion
Malcolm Brogdon,Indiana Pacers,PG,29/01/2020,activated from IL
Malcolm Brogdon,Indiana Pacers,PG,06/03/2020,placed on IL with torn left quadriceps
Malcolm Brogdon,Indiana Pacers,PG,01/08/2020,placed on IL with cervical strain
Malcolm Brogdon,Indiana Pacers,PG,03/08/2020,activated from IL
Malcolm Brogdon,Indiana Pacers,PG,12/08/2020,placed on IL with sore neck
Malcolm Brogdon,Indiana Pacers,PG,14/08/2020,activated from IL
Torrey Craig,Indiana Pacers,SF,18/10/2017,placed on IL
Torrey Craig,Indiana Pacers,SF,28/11/2017,activated from IL
Torrey Craig,Indiana Pacers,SF,02/12/2017,placed on IL
Torrey Craig,Indiana Pacers,SF,15/12/2017,activated from IL
Torrey Craig,Indiana Pacers,SF,13/01/2018,placed on IL
Torrey Craig,Indiana Pacers,SF,16/01/2018,activated from IL
Torrey Craig,Indiana Pacers,SF,15/02/2018,placed on IL with hamstring injury
Torrey Craig,Indiana Pacers,SF,01/03/2018,activated from IL
Torrey Craig,Indiana Pacers,SF,17/03/2018,activated from IL
Torrey Craig,Indiana Pacers,SF,17/11/2018,hamstring injury (DTD)
Torrey Craig,Indiana Pacers,SF,23/11/2018,returned to lineup
Torrey Craig,Indiana Pacers,SF,14/03/2019,placed on IL with sprained left shoulder
Torrey Craig,Indiana Pacers,SF,16/03/2019,activated from IL
Justin Holiday,Indiana Pacers,SF,05/11/2014,placed on IL
Justin Holiday,Indiana Pacers,SF,08/11/2014,activated from IL
Justin Holiday,Indiana Pacers,SF,09/11/2014,placed on IL
Justin Holiday,Indiana Pacers,SF,15/11/2014,activated from IL
Justin Holiday,Indiana Pacers,SF,05/01/2016,placed on IL
Justin Holiday,Indiana Pacers,SF,07/01/2016,activated from IL
Justin Holiday,Indiana Pacers,SF,20/01/2016,placed on IL
Justin Holiday,Indiana Pacers,SF,08/02/2016,activated from IL
Justin Holiday,Indiana Pacers,SF,22/02/2018,placed on IL
Justin Holiday,Indiana Pacers,SF,26/02/2018,activated from IL
Justin Holiday,Indiana Pacers,SF,27/02/2018,placed on IL
Justin Holiday,Indiana Pacers,SF,07/03/2018,activated from IL
Jeremy Lamb,Indiana Pacers,SG,07/12/2012,activated from IL
Jeremy Lamb,Indiana Pacers,SG,14/12/2012,placed on IL
Jeremy Lamb,Indiana Pacers,SG,17/12/2012,activated from IL
Jeremy Lamb,Indiana Pacers,SG,22/01/2013,placed on IL with back injury
Jeremy Lamb,Indiana Pacers,SG,20/02/2013,activated from IL
Jeremy Lamb,Indiana Pacers,SG,27/02/2013,placed on IL
Jeremy Lamb,Indiana Pacers,SG,07/03/2013,activated from IL
Jeremy Lamb,Indiana Pacers,SG,19/03/2013,activated from IL
Jeremy Lamb,Indiana Pacers,SG,20/03/2013,placed on IL
Jeremy Lamb,Indiana Pacers,SG,24/03/2013,activated from IL
Jeremy Lamb,Indiana Pacers,SG,05/04/2013,placed on IL
Jeremy Lamb,Indiana Pacers,SG,07/04/2013,activated from IL
Jeremy Lamb,Indiana Pacers,SG,09/04/2013,placed on IL
Jeremy Lamb,Indiana Pacers,SG,15/04/2013,activated from IL
Jeremy Lamb,Indiana Pacers,SG,21/04/2013,placed on IL
Jeremy Lamb,Indiana Pacers,SG,24/04/2013,activated from IL
Jeremy Lamb,Indiana Pacers,SG,05/05/2013,placed on IL
Jeremy Lamb,Indiana Pacers,SG,07/05/2013,activated from IL
Jeremy Lamb,Indiana Pacers,SG,11/05/2013,placed on IL
Jeremy Lamb,Indiana Pacers,SG,13/05/2013,activated from IL
Jeremy Lamb,Indiana Pacers,SG,15/05/2013,placed on IL
Jeremy Lamb,Indiana Pacers,SG,29/10/2014,sprained lower back (DTD)
Jeremy Lamb,Indiana Pacers,SG,07/11/2014,returned to lineup
Jeremy Lamb,Indiana Pacers,SG,28/10/2015,sprained right ankle (DTD)
Jeremy Lamb,Indiana Pacers,SG,30/10/2015,returned to lineup
Jeremy Lamb,Indiana Pacers,SG,14/01/2016,sprained right big toe (DTD)
Jeremy Lamb,Indiana Pacers,SG,22/01/2016,returned to lineup
Jeremy Lamb,Indiana Pacers,SG,23/01/2016,sprained right big toe (DTD)
Jeremy Lamb,Indiana Pacers,SG,03/02/2016,returned to lineup
Jeremy Lamb,Indiana Pacers,SG,08/04/2016,placed on IL with strained right big toe
Jeremy Lamb,Indiana Pacers,SG,10/04/2016,activated from IL
Jeremy Lamb,Indiana Pacers,SG,29/10/2016,strained left hamstring (DTD)
Jeremy Lamb,Indiana Pacers,SG,02/11/2016,placed on IL with strained left hamstring
Jeremy Lamb,Indiana Pacers,SG,18/11/2016,activated from IL
Jeremy Lamb,Indiana Pacers,SG,18/11/2016,strained left hamstring (DTD)
Jeremy Lamb,Indiana Pacers,SG,23/11/2016,returned to lineup
Jeremy Lamb,Indiana Pacers,SG,12/01/2017,sore foot (DTD)
Jeremy Lamb,Indiana Pacers,SG,21/01/2017,placed on IL with sore foot
Jeremy Lamb,Indiana Pacers,SG,25/01/2017,activated from IL
Jeremy Lamb,Indiana Pacers,SG,27/01/2017,activated from IL
Jeremy Lamb,Indiana Pacers,SG,28/01/2017,metatarsal inflammation (DTD)
Jeremy Lamb,Indiana Pacers,SG,31/01/2017,returned to lineup
Jeremy Lamb,Indiana Pacers,SG,09/12/2017,placed on IL with bruised shin
Jeremy Lamb,Indiana Pacers,SG,11/12/2017,activated from IL
Jeremy Lamb,Indiana Pacers,SG,31/03/2018,sore left foot (DTD)
Jeremy Lamb,Indiana Pacers,SG,01/04/2018,returned to lineup
Jeremy Lamb,Indiana Pacers,SG,02/01/2019,strained right hamstring (DTD)
Jeremy Lamb,Indiana Pacers,SG,08/01/2019,returned to lineup
Jeremy Lamb,Indiana Pacers,SG,26/10/2019,placed on IL with right hip pointer
Jeremy Lamb,Indiana Pacers,SG,30/10/2019,activated from IL
Jeremy Lamb,Indiana Pacers,SG,06/11/2019,placed on IL with sprained left ankle
Jeremy Lamb,Indiana Pacers,SG,23/11/2019,activated from IL
Jeremy Lamb,Indiana Pacers,SG,20/12/2019,right groin injury (DTD)
Jeremy Lamb,Indiana Pacers,SG,23/12/2019,returned to lineup
Jeremy Lamb,Indiana Pacers,SG,24/02/2020,torn ACL in left knee (out for season)
Jeremy Lamb,Indiana Pacers,SG,25/02/2020,placed on IL with torn ACL in left knee (out for season)
Caris LeVert,Indiana Pacers,SG,24/10/2016,sore foot (DTD)
Caris LeVert,Indiana Pacers,SG,26/10/2016,placed on IL with sore foot
Caris LeVert,Indiana Pacers,SG,05/12/2016,activated from IL
Caris LeVert,Indiana Pacers,SG,05/12/2016,sore foot (DTD)
Caris LeVert,Indiana Pacers,SG,07/12/2016,returned to lineup
Caris LeVert,Indiana Pacers,SG,27/01/2017,rest (DTD)
Caris LeVert,Indiana Pacers,SG,28/01/2017,returned to lineup
Caris LeVert,Indiana Pacers,SG,05/02/2017,sore right knee (DTD)
Caris LeVert,Indiana Pacers,SG,08/02/2017,returned to lineup
Caris LeVert,Indiana Pacers,SG,25/02/2017,placed on IL with illness
Caris LeVert,Indiana Pacers,SG,28/02/2017,activated from IL
Caris LeVert,Indiana Pacers,SG,03/01/2018,placed on IL with strained left groin
Caris LeVert,Indiana Pacers,SG,08/01/2018,activated from IL
Caris LeVert,Indiana Pacers,SG,27/01/2018,sore left groin (DTD)
Caris LeVert,Indiana Pacers,SG,30/01/2018,placed on IL with sore left groin
Caris LeVert,Indiana Pacers,SG,02/02/2018,activated from IL
Caris LeVert,Indiana Pacers,SG,07/02/2018,placed on IL with sprained right knee
Caris LeVert,Indiana Pacers,SG,26/02/2018,activated from IL
Caris LeVert,Indiana Pacers,SG,09/04/2018,placed on IL with right foot injury
Caris LeVert,Indiana Pacers,SG,11/04/2018,activated from IL
Caris LeVert,Indiana Pacers,SG,13/11/2018,right foot injury (out indefinitely)
Caris LeVert,Indiana Pacers,SG,14/11/2018,placed on IL with right foot injury
Caris LeVert,Indiana Pacers,SG,08/02/2019,activated from IL
Caris LeVert,Indiana Pacers,SG,11/11/2019,sprained right thumb (DTD)
Caris LeVert,Indiana Pacers,SG,12/11/2019,placed on IL with right thumb injury (surgery)
Caris LeVert,Indiana Pacers,SG,04/01/2020,activated from IL
Caris LeVert,Indiana Pacers,SG,03/08/2020,bruised thigh (DTD)
Caris LeVert,Indiana Pacers,SG,05/08/2020,returned to lineup
Caris LeVert,Indiana Pacers,SG,10/08/2020,left thigh injury (DTD)
Caris LeVert,Indiana Pacers,SG,12/08/2020,returned to lineup
Kelan Martin,Indiana Pacers,SG,08/03/2020,placed on IL with sprained left ankle
T.J. McConnell,Indiana Pacers,PG,24/02/2016,sprained right ankle (DTD)
T.J. McConnell,Indiana Pacers,PG,26/02/2016,returned to lineup
T.J. McConnell,Indiana Pacers,PG,16/01/2017,sprained right wrist (DTD)
T.J. McConnell,Indiana Pacers,PG,18/01/2017,returned to lineup
T.J. McConnell,Indiana Pacers,PG,30/11/2017,placed on IL with bruised/sprained left shoulder
T.J. McConnell,Indiana Pacers,PG,07/12/2017,activated from IL
T.J. McConnell,Indiana Pacers,PG,09/12/2017,left shoulder injury (DTD)
T.J. McConnell,Indiana Pacers,PG,12/12/2017,activated from IL
T.J. McConnell,Indiana Pacers,PG,16/11/2019,placed on IL with right groin injury
T.J. McConnell,Indiana Pacers,PG,23/11/2019,activated from IL
JaKarr Sampson,Indiana Pacers,SF,21/11/2014,placed on IL
JaKarr Sampson,Indiana Pacers,SF,24/11/2014,activated from IL
JaKarr Sampson,Indiana Pacers,SF,26/01/2016,upper respiratory infection (DTD)
JaKarr Sampson,Indiana Pacers,SF,30/01/2016,returned to lineup
JaKarr Sampson,Indiana Pacers,SF,23/10/2017,placed on IL
JaKarr Sampson,Indiana Pacers,SF,29/10/2017,activated from IL
JaKarr Sampson,Indiana Pacers,SF,31/10/2017,placed on IL
JaKarr Sampson,Indiana Pacers,SF,02/12/2017,placed on IL
JaKarr Sampson,Indiana Pacers,SF,12/12/2017,placed on IL
JaKarr Sampson,Indiana Pacers,SF,06/01/2018,activated from IL
JaKarr Sampson,Indiana Pacers,SF,08/01/2018,placed on IL
JaKarr Sampson,Indiana Pacers,SF,28/01/2018,activated from IL
JaKarr Sampson,Indiana Pacers,SF,24/02/2018,placed on IL
JaKarr Sampson,Indiana Pacers,SF,07/03/2018,activated from IL
JaKarr Sampson,Indiana Pacers,SF,19/03/2018,placed on IL
JaKarr Sampson,Indiana Pacers,SF,27/03/2018,activated from IL
JaKarr Sampson,Indiana Pacers,SF,23/11/2019,placed on IL with sore back
JaKarr Sampson,Indiana Pacers,SF,17/12/2019,activated from IL
JaKarr Sampson,Indiana Pacers,SF,24/01/2020,placed on IL with sprained left ankle
JaKarr Sampson,Indiana Pacers,SF,26/01/2020,activated from IL
Edmond Sumner,Indiana Pacers,PG,18/10/2017,placed on IL with surgery on left knee
Edmond Sumner,Indiana Pacers,PG,10/04/2018,activated from IL
Edmond Sumner,Indiana Pacers,PG,07/11/2018,placed on IL
Edmond Sumner,Indiana Pacers,PG,26/11/2018,activated from IL
Edmond Sumner,Indiana Pacers,PG,12/12/2018,placed on IL
Edmond Sumner,Indiana Pacers,PG,08/01/2019,activated from IL
Edmond Sumner,Indiana Pacers,PG,15/01/2019,placed on IL
Edmond Sumner,Indiana Pacers,PG,26/01/2019,activated from IL
Edmond Sumner,Indiana Pacers,PG,27/02/2019,placed on IL
Edmond Sumner,Indiana Pacers,PG,05/03/2019,activated from IL
Edmond Sumner,Indiana Pacers,PG,05/03/2019,bruised left knee (DTD)
Edmond Sumner,Indiana Pacers,PG,30/10/2019,placed on IL with fractured right hand
Edmond Sumner,Indiana Pacers,PG,05/12/2019,activated from IL
Edmond Sumner,Indiana Pacers,PG,02/01/2020,placed on IL with sore right knee
Edmond Sumner,Indiana Pacers,PG,04/01/2020,activated from IL
Edmond Sumner,Indiana Pacers,PG,10/02/2020,placed on IL
Edmond Sumner,Indiana Pacers,PG,21/02/2020,left hip injury (DTD)
Edmond Sumner,Indiana Pacers,PG,29/02/2020,activated from IL
Myles Turner,Indiana Pacers,C,28/10/2015,sore right ankle (DTD)
Myles Turner,Indiana Pacers,C,29/10/2015,returned to lineup
Myles Turner,Indiana Pacers,C,12/11/2015,chip fracture in left thumb (out indefinitely)
Myles Turner,Indiana Pacers,C,16/11/2015,surgery on left thumb to repair chip fracture and torn ligament (out indefinitely)
Myles Turner,Indiana Pacers,C,27/11/2015,recovering from surgery on left thumb to repair chip fracture and torn ligament (out indefinitely)
Myles Turner,Indiana Pacers,C,30/12/2015,returned to lineup
Myles Turner,Indiana Pacers,C,21/11/2016,sprained right ankle (DTD)
Myles Turner,Indiana Pacers,C,23/11/2016,returned to lineup
Myles Turner,Indiana Pacers,C,19/10/2017,sore neck (DTD)
Myles Turner,Indiana Pacers,C,20/10/2017,placed on IL with concussion
Myles Turner,Indiana Pacers,C,03/11/2017,activated from IL
Myles Turner,Indiana Pacers,C,10/01/2018,right elbow injury (DTD)
Myles Turner,Indiana Pacers,C,27/01/2018,activated from IL
Myles Turner,Indiana Pacers,C,17/03/2018,placed on IL with sprained left ankle
Myles Turner,Indiana Pacers,C,19/03/2018,activated from IL
Myles Turner,Indiana Pacers,C,23/11/2018,placed on IL with sore left ankle
Myles Turner,Indiana Pacers,C,26/11/2018,activated from IL
Myles Turner,Indiana Pacers,C,06/01/2019,placed on IL with sore right shoulder
Myles Turner,Indiana Pacers,C,15/01/2019,activated from IL
Myles Turner,Indiana Pacers,C,22/02/2019,placed on IL with bruised left hip
Myles Turner,Indiana Pacers,C,25/02/2019,activated from IL
Myles Turner,Indiana Pacers,C,10/04/2019,placed on IL with sore right ankle
Myles Turner,Indiana Pacers,C,13/04/2019,activated from IL
Myles Turner,Indiana Pacers,C,31/10/2019,sprained right ankle (out indefinitely)
Myles Turner,Indiana Pacers,C,01/11/2019,placed on IL with sprained right ankle
Myles Turner,Indiana Pacers,C,16/11/2019,activated from IL
Myles Turner,Indiana Pacers,C,26/01/2020,placed on IL with illness
Myles Turner,Indiana Pacers,C,31/01/2020,activated from IL
Myles Turner,Indiana Pacers,C,13/08/2020,placed on IL with sprained right wrist
Myles Turner,Indiana Pacers,C,18/08/2020,activated from IL
T.J. Warren,Indiana Pacers,SF,23/10/2014,fractured left thumb (out indefinitely)
T.J. Warren,Indiana Pacers,SF,29/10/2014,placed on IL with fractured left thumb
T.J. Warren,Indiana Pacers,SF,09/11/2014,activated from IL
T.J. Warren,Indiana Pacers,SF,14/11/2014,placed on IL
T.J. Warren,Indiana Pacers,SF,17/11/2014,activated from IL
T.J. Warren,Indiana Pacers,SF,23/01/2015,placed on IL
T.J. Warren,Indiana Pacers,SF,25/01/2015,activated from IL
T.J. Warren,Indiana Pacers,SF,05/02/2015,placed on IL
T.J. Warren,Indiana Pacers,SF,08/02/2015,activated from IL
T.J. Warren,Indiana Pacers,SF,18/11/2015,placed on IL with illness
T.J. Warren,Indiana Pacers,SF,20/11/2015,activated from IL
T.J. Warren,Indiana Pacers,SF,31/01/2016,fractured right foot (out for season)
T.J. Warren,Indiana Pacers,SF,19/02/2016,placed on IL with fractured right foot (out for season)
T.J. Warren,Indiana Pacers,SF,18/11/2016,illness (DTD)
T.J. Warren,Indiana Pacers,SF,19/11/2016,placed on IL with illness
T.J. Warren,Indiana Pacers,SF,23/11/2016,head injury (DTD)
